Name,Category,Address,City,Latitude,Longitude
Random1 ,Mexican Restaurant,Random1 ,Kyiv,50.538000,30.474900
Random2,Mexican Restaurant,Random2,Kyiv,50.427000,30.564000
Random3,Mexican Restaurant,Random3,Kyiv,50.448000,30.427600
Random4,Mexican Restaurant,Random4,Kyiv,50.370000,30.522200
Random5,Mexican Restaurant,Random5,Kyiv,50.508000,30.551900
Random6,Mexican Restaurant,Random6,Kyiv,50.358000,30.495800
Random7,Mexican Restaurant,Random7,Kyiv,50.399000,30.617900
Random8,Mexican Restaurant,Random8,Kyiv,50.444000,30.501300
Random9,Mexican Restaurant,Random9,Kyiv,50.478000,30.427600
Random10,Mexican Restaurant,Random10,Kyiv,50.418000,30.616800
Random11,Mexican Restaurant,Random11,Kyiv,50.548000,30.449600
Random12,Mexican Restaurant,Random12,Kyiv,50.370000,30.554100
Random13,Mexican Restaurant,Random13,Kyiv,50.472000,30.501300
Random14,Mexican Restaurant,Random14,Kyiv,50.376000,30.612400
Random15,Mexican Restaurant,Random15,Kyiv,50.543000,30.522200
Random16,Mexican Restaurant,Random16,Kyiv,50.526000,30.539800
Random17,Mexican Restaurant,Random17,Kyiv,50.490000,30.461700
Random18,Mexican Restaurant,Random18,Kyiv,50.544000,30.571700
Random19,Mexican Restaurant,Random19,Kyiv,50.499000,30.550800
Random20,Mexican Restaurant,Random20,Kyiv,50.410000,30.536500
Random21,Mexican Restaurant,Random21,Kyiv,50.545000,30.568400
Random22,Mexican Restaurant,Random22,Kyiv,50.491000,30.531000
Random23,Mexican Restaurant,Random23,Kyiv,50.486000,30.490300
Random24,Mexican Restaurant,Random24,Kyiv,50.402000,30.438600
Random25,Mexican Restaurant,Random25,Kyiv,50.532000,30.436400
Random26,Mexican Restaurant,Random26,Kyiv,50.480000,30.419900
Random27,Mexican Restaurant,Random27,Kyiv,50.517000,30.418800
Random28,Mexican Restaurant,Random28,Kyiv,50.477000,30.594800
Random29,Mexican Restaurant,Random29,Kyiv,50.485000,30.625600
Random30,Mexican Restaurant,Random30,Kyiv,50.503000,30.620100
Random31,Mexican Restaurant,Random31,Kyiv,50.549000,30.489200
Random32,Mexican Restaurant,Random32,Kyiv,50.526000,30.506800
Random33,Mexican Restaurant,Random33,Kyiv,50.487000,30.513400
Random34,Mexican Restaurant,Random34,Kyiv,50.507000,30.613500
Random35,Mexican Restaurant,Random35,Kyiv,50.411000,30.421000
Random36,Mexican Restaurant,Random36,Kyiv,50.452000,30.546400
Random37,Mexican Restaurant,Random37,Kyiv,50.514000,30.517800
Random38,Mexican Restaurant,Random38,Kyiv,50.391000,30.514500
Random39,Mexican Restaurant,Random39,Kyiv,50.492000,30.501300
Random40,Mexican Restaurant,Random40,Kyiv,50.540000,30.445200
