Name,Category,Adress,City,Latitude,Longitude
Random1 ,Mexican Restaurant,Random1 ,Kyiv,50.608521,30.631738
Random2,Mexican Restaurant,Random2,Kyiv,50.489565,30.574879
Random3,Mexican Restaurant,Random3,Kyiv,50.496029,30.674067
Random4,Mexican Restaurant,Random4,Kyiv,50.499396,30.64657
Random5,Mexican Restaurant,Random5,Kyiv,50.586345,30.630299
Random6,Mexican Restaurant,Random6,Kyiv,50.475197,30.623949
Random7,Mexican Restaurant,Random7,Kyiv,50.544191,30.651353
Random8,Mexican Restaurant,Random8,Kyiv,50.519288,30.525209
Random9,Mexican Restaurant,Random9,Kyiv,50.584277,30.571412
Random10,Mexican Restaurant,Random10,Kyiv,50.604999,30.567788
Random11,Mexican Restaurant,Random11,Kyiv,50.569235,30.650399
Random12,Mexican Restaurant,Random12,Kyiv,50.511479,30.669011
Random13,Mexican Restaurant,Random13,Kyiv,50.464266,30.529601
Random14,Mexican Restaurant,Random14,Kyiv,50.54426,30.584936
Random15,Mexican Restaurant,Random15,Kyiv,50.598489,30.526766
Random16,Mexican Restaurant,Random16,Kyiv,50.583458,30.678665
Random17,Mexican Restaurant,Random17,Kyiv,50.52817,30.650069
Random18,Mexican Restaurant,Random18,Kyiv,50.549406,30.667999
Random19,Mexican Restaurant,Random19,Kyiv,50.51353,30.528276
Random20,Mexican Restaurant,Random20,Kyiv,50.493265,30.605227
Random21,Mexican Restaurant,Random21,Kyiv,50.574476,30.61445
Random22,Mexican Restaurant,Random22,Kyiv,50.489246,30.613828
Random23,Mexican Restaurant,Random23,Kyiv,50.531695,30.604217
Random24,Mexican Restaurant,Random24,Kyiv,50.520718,30.569659
Random25,Mexican Restaurant,Random25,Kyiv,50.520512,30.53098
Random26,Mexican Restaurant,Random26,Kyiv,50.458358,30.554122
Random27,Mexican Restaurant,Random27,Kyiv,50.467453,30.56147
Random28,Mexican Restaurant,Random28,Kyiv,50.529277,30.646112
Random29,Mexican Restaurant,Random29,Kyiv,50.585823,30.678969
Random30,Mexican Restaurant,Random30,Kyiv,50.581763,30.630654
