Name,Category,Adress,City,Latitude,Longitude
Random1 ,Mexican Restaurant,Random1 ,Kyiv,50.326800,30.518400
Random2,Mexican Restaurant,Random2,Kyiv,50.470800,30.656000
Random3,Mexican Restaurant,Random3,Kyiv,50.291600,30.438400
Random4,Mexican Restaurant,Random4,Kyiv,50.579600,30.532800
Random5,Mexican Restaurant,Random5,Kyiv,50.552400,30.515200
Random6,Mexican Restaurant,Random6,Kyiv,50.538000,30.540800
Random7,Mexican Restaurant,Random7,Kyiv,50.451600,30.489600
Random8,Mexican Restaurant,Random8,Kyiv,50.491600,30.486400
Random9,Mexican Restaurant,Random9,Kyiv,50.498000,30.480000
Random10,Mexican Restaurant,Random10,Kyiv,50.578000,30.596800
Random11,Mexican Restaurant,Random11,Kyiv,50.525200,30.536000
Random12,Mexican Restaurant,Random12,Kyiv,50.434000,30.585600
Random13,Mexican Restaurant,Random13,Kyiv,50.328400,30.404800
Random14,Mexican Restaurant,Random14,Kyiv,50.507600,30.542400
Random15,Mexican Restaurant,Random15,Kyiv,50.320400,30.456000
Random16,Mexican Restaurant,Random16,Kyiv,50.346000,30.500800
Random17,Mexican Restaurant,Random17,Kyiv,50.594000,30.513600
Random18,Mexican Restaurant,Random18,Kyiv,50.429200,30.643200
Random19,Mexican Restaurant,Random19,Kyiv,50.499600,30.619200
Random20,Mexican Restaurant,Random20,Kyiv,50.480400,30.656000
Random21,Mexican Restaurant,Random21,Kyiv,50.461200,30.540800
Random22,Mexican Restaurant,Random22,Kyiv,50.525200,30.497600
Random23,Mexican Restaurant,Random23,Kyiv,50.373200,30.632000
Random24,Mexican Restaurant,Random24,Kyiv,50.598800,30.374400
Random25,Mexican Restaurant,Random25,Kyiv,50.339600,30.408000
Random26,Mexican Restaurant,Random26,Kyiv,50.480400,30.484800
Random27,Mexican Restaurant,Random27,Kyiv,50.502800,30.662400
Random28,Mexican Restaurant,Random28,Kyiv,50.566800,30.608000
Random29,Mexican Restaurant,Random29,Kyiv,50.475600,30.678400
Random30,Mexican Restaurant,Random30,Kyiv,50.362000,30.601600
